timestamps,,,,,Marker
1488767250.256,-298.936,-98.889,3066.753,2343.788,0
1488767250.256,-370.813,-217.799,3903.064,1955.250,0
1488767250.270,-130.003,-264.143,4303.321,2927.876,0
1488767250.270,-203.821,-157.947,4240.057,2653.779,0
1488767250.284,-427.512,-155.518,3950.869,2095.860,0
1488767250.284,-188.740,-288.961,4779.873,2375.618,0
1488767250.286,-154.147,-216.215,4047.907,2588.981,0
1488767250.286,-377.853,-90.044,3562.225,2249.372,0
1488767250.300,-267.408,-274.365,4256.423,2293.658,0
1488767250.300,-103.431,-220.590,5001.899,2978.454,0
1488767250.314,-274.845,-80.896,4991.502,2331.811,0
1488767250.314,-338.854,-182.479,5868.196,1958.494,0
1488767250.316,-103.081,-232.650,6277.111,2931.696,0
1488767250.316,-162.684,-104.246,6185.166,2650.587,0
1488767250.330,-394.715,-117.137,5900.918,2091.176,0
1488767250.330,-176.381,-264.725,6759.141,2381.319,0
1488767250.344,-127.536,-185.733,6020.448,2607.077,0
1488767250.344,-389.056,-82.622,5472.874,2213.030,0
1488767250.346,-269.703,-267.126,6242.300,2302.400,0
1488767250.346,-137.223,-246.570,6982.514,3004.830,0
1488767250.360,-331.978,-117.478,6910.420,2310.589,0
1488767250.360,-408.642,-247.073,7834.705,1955.825,0
1488767250.374,-169.926,-302.737,8251.836,1969.983,0
1488767250.374,-270.593,-206.272,8093.040,1631.959,0
1488767250.376,-500.170,-211.007,7829.415,1073.944,0
1488767250.376,-273.920,-368.124,8720.291,1387.136,0
1488767250.390,-253.550,-302.696,7943.289,1583.307,0
1488767250.390,-510.904,-195.864,7373.403,1176.436,0
1488767250.404,-388.260,-384.733,8188.438,1283.537,0
1488767250.404,-251.635,-370.258,8910.700,1978.300,0
1488767250.406,-443.088,-230.466,8795.114,1265.633,0
1488767250.406,-517.348,-360.562,9766.208,926.966,0
1488767250.420,-271.590,-402.886,10209.702,967.953,0
1488767250.420,-367.167,-299.155,10009.168,617.001,0
1488767250.434,-598.924,-311.638,9746.328,48.028,0
1488767250.434,-346.894,-450.392,10697.555,407.823,0
1488767250.436,-305.065,-359.750,9896.667,597.576,0
1488767250.436,-567.483,-254.758,9298.395,168.254,0
1488767250.450,-423.162,-419.946,10175.986,321.682,0
1488767250.450,-277.615,-394.535,10874.564,1008.853,0
1488767250.464,-465.750,-251.785,10729.991,273.611,0
1488767250.464,-509.137,-353.424,10773.873,-28.539,0
1488767250.466,-271.820,-404.840,11198.638,-0.724,0
1488767250.466,-383.123,-318.918,10951.004,-391.603,0
